,Country Name,Year,GDP (current US$),"GDP, PPP (current international $)",GDP per capita (current US$),GDP growth (annual %),Imports of goods and services (% of GDP),Exports of goods and services (% of GDP),"Central government debt, total (% of GDP)","Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Inflation, consumer prices (annual %)","Personal remittances, received (% of GDP)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)
33,United States,1991,6158129000000.0,6158129000000.0,24342.2589048189,-0.108264790855543,10.1255430017786,9.66090512231881,44.0615972806026,159272850288.003,6.80000019073486,4.23496396453853,0.0211103080172565,252981000.0,1.33626074073779,75.3658536585366,0.5
34,United States,1992,6520327000000.0,6520327000000.0,25418.9907763319,3.52244052740502,10.2416795967442,9.70891490564814,46.0501444176036,147525874735.105,7.5,3.0288196781497,0.0275446308137613,256514000.0,1.38688569247935,75.6170731707317,0.5
35,United States,1993,6858559000000.0,6858559000000.0,26387.2937338171,2.75178105096643,10.4974383102923,9.54718039168286,48.2461403335599,164620171357.293,6.90000009536743,2.95165696638554,0.0265361863913396,259919000.0,1.31867999977741,75.419512195122,0.5
36,United States,1994,7287236000000.0,7287236000000.0,27694.853416234,4.02879325991903,11.162311746182,9.89314741556332,47.3534821707435,163590579764.938,6.11999988555908,2.6074415921546,0.0266630585313828,263126000.0,1.2262960888682,75.619512195122,0.5
37,United States,1995,7639749000000.0,7639749000000.0,28690.8757013347,2.68421727207786,11.8141577687958,10.639223880261,47.2095352870886,175995426883.436,5.65000009536743,2.80541968853655,0.0285218794491809,266278000.0,1.19078709090209,75.6219512195122,0.5
38,United States,1996,8073122000000.0,8073122000000.0,29967.7127181749,3.77256549921414,11.9404364259576,10.7466355642836,46.7417685500108,160660160546.204,5.44999980926514,2.9312041999344,0.0270155709278269,269394000.0,1.16341161998189,76.0268292682927,0.5
39,United States,1997,8577554457000.0,8577554457000.0,31459.1389804773,4.44717494524525,12.3085665651286,11.1197545265553,44.1174698332784,134836033327.141,5.0,2.33768993730741,0.0264644195659695,272657000.0,1.20396029701272,76.4292682926829,0.7
40,United States,1998,9062818202000.0,9062818202000.01,32853.6769523009,4.48139443155316,12.3106298188105,10.5152611335588,41.1291489790385,146006089507.341,4.51000022888184,1.55227909874362,0.0268900903193909,275854000.0,1.16571452642589,76.5804878048781,0.7
41,United States,1999,9631174489000.0,9631174489000.01,34515.3902272076,4.79449904467508,13.0042291459932,10.309334558667,37.7272782686058,136450101867.481,4.21999979019165,2.18802719697358,0.0440860043066343,279040000.0,1.14834004729055,76.5829268292683,0.7
42,United States,2000,10250947997000.0,10250947997000.0,36329.9560727102,4.07715947941618,14.4102184542572,10.6927769053241,33.2676548646821,128399516602.723,3.99000000953674,3.37685727149935,0.0428740834631706,282162411.0,1.11276899679534,76.6365853658537,0.7
43,United States,2001,10581929774000.0,10581929774000.0,37133.623113437,0.954338728708379,13.2637338366067,9.70344749898923,15.1656931606471,130076677027.985,4.73000001907349,2.82617111885402,0.0426481756766949,284968955.0,0.989741382223669,76.8365853658537,0.7
44,United States,2002,10929112955000.0,10929112955000.0,37997.7596573051,1.69594292274957,13.1549925956457,9.131381513844,53.8670066293591,157762914914.241,5.78000020980835,1.58603162650603,0.0418149214745672,287625193.0,0.927797485710314,76.9365853658537,0.7
45,United States,2003,11456442041000.0,11456442041000.0,39490.2749557007,2.7962091006717,13.5916543236323,9.03565868264667,56.2504918799161,184024332193.35,5.98999977111816,2.27009497336113,0.0407805493475197,290107933.0,0.859481712840946,77.0365853658537,1.0
